"","region","ct_band","regions","ctb_banddis","frs_banddis","dist_diff"
"1","SE","a","SE",8.86199017320083,6.33727175080559,2.52471842239524
"2","SE","b","SE",16.5285408872654,13.8560687432868,2.6724721439786
"3","SE","c","SE",25.8048225986473,23.5767991407089,2.22802345793843
"4","SE","d","SE",20.1840140829706,22.5563909774436,-2.37237689447302
"5","SE","e","SE",13.230461557545,15.6283566058002,-2.39789504825524
"6","SE","f","SE",8.05799493191523,10.1503759398496,-2.09238100793439
"7","SE","g","SE",6.37173031434922,7.14285714285714,-0.771126828507922
"8","SE","h","SE",0.960445454106426,0.75187969924812,0.208565754858306
